athlete_id;created_at;discipline;rating
808884;2003-09-27;singles;1472
808884;2003-09-27;doubles;1465
808884;2003-10-25;singles;1494
808884;2003-10-25;doubles;1453
808884;2003-11-09;singles;1505
808884;2003-11-09;doubles;1467
808884;2003-11-15;singles;1519
808884;2003-11-15;doubles;1461
808884;2003-12-14;singles;1528
808884;2003-12-14;doubles;1435
808884;2003-12-19;singles;1538
808884;2003-12-19;doubles;1418
808884;2004-01-10;singles;1550
808884;2004-01-10;doubles;1408
808884;2004-01-25;singles;1557
808884;2004-01-25;doubles;1399
808884;2004-02-14;singles;1567
808884;2004-02-14;doubles;1413
808884;2004-02-21;singles;1572
808884;2004-02-21;doubles;1419
808884;2004-09-18;singles;1563
808884;2004-09-18;doubles;1434
808884;2004-09-24;singles;1557
808884;2004-09-24;doubles;1428
808884;2004-10-23;singles;1545
808884;2004-10-23;doubles;1420
808884;2004-10-24;singles;1570
808884;2004-10-24;doubles;1414
808884;2004-10-30;singles;1579
808884;2004-10-30;doubles;1424
808884;2004-11-05;singles;1596
808884;2004-11-05;doubles;1441
808884;2004-11-13;singles;1612
808884;2004-11-13;doubles;1461
808884;2004-12-05;singles;1623
808884;2004-12-05;doubles;1473
808884;2004-12-11;singles;1616
808884;2004-12-11;doubles;1480
808884;2004-12-18;singles;1628
808884;2004-12-18;doubles;1474
808884;2005-01-16;singles;1617
808884;2005-01-16;doubles;1484
808884;2005-02-05;singles;1638
808884;2005-02-05;doubles;1501
808884;2005-02-26;singles;1618
808884;2005-02-26;doubles;1493
808884;2005-09-17;singles;1634
808884;2005-09-17;doubles;1508
808884;2005-09-18;singles;1627
808884;2005-09-18;doubles;1503
808884;2005-09-25;singles;1645
808884;2005-09-25;doubles;1494
808884;2005-10-30;singles;1631
808884;2005-10-30;doubles;1508
808884;2005-11-05;singles;1648
808884;2005-11-05;doubles;1504
808884;2005-11-12;singles;1663
808884;2005-11-12;doubles;1520
808884;2005-12-03;singles;1677
808884;2005-12-03;doubles;1527
808884;2005-12-09;singles;1691
808884;2005-12-09;doubles;1539
808884;2005-12-17;singles;1706
808884;2005-12-17;doubles;1529
808884;2006-01-07;singles;1717
808884;2006-01-07;doubles;1542
808884;2006-01-22;singles;1715
808884;2006-01-22;doubles;1552
808884;2006-02-10;singles;1735
808884;2006-02-10;doubles;1565
808884;2006-09-23;singles;1720
808884;2006-09-23;doubles;1553
808884;2006-09-24;singles;1711
808884;2006-09-24;doubles;1546
808884;2006-10-28;singles;1706
808884;2006-10-28;doubles;1558
808884;2006-10-29;singles;1694
808884;2006-10-29;doubles;1551
808884;2006-11-04;singles;1689
808884;2006-11-04;doubles;1544
808884;2006-11-19;singles;1681
808884;2006-11-19;doubles;1549
808884;2006-12-02;singles;1684
808884;2006-12-02;doubles;1540
808884;2006-12-10;singles;1688
808884;2006-12-10;doubles;1533
808884;2006-12-18;singles;1674
808884;2007-01-13;singles;1669
808884;2007-01-13;doubles;1532
808884;2007-01-20;singles;1657
808884;2007-01-20;doubles;1529
808884;2007-09-22;singles;1667
808884;2007-09-22;doubles;1517
808884;2007-09-28;singles;1676
808884;2007-09-28;doubles;1529
808884;2007-10-06;singles;1687
808884;2007-10-06;doubles;1544
808884;2007-10-07;singles;1693
808884;2007-10-07;doubles;1557
808884;2007-10-27;singles;1701
808884;2007-10-27;doubles;1565
808884;2007-11-18;singles;1711
808884;2007-11-18;doubles;1561
808884;2007-12-09;singles;1699
808884;2007-12-09;doubles;1554
808884;2007-12-15;singles;1690
808884;2007-12-15;doubles;1564
808884;2008-01-26;singles;1699
808884;2008-01-26;doubles;1558
808884;2008-02-02;singles;1703
808884;2008-02-02;doubles;1570
808884;2008-02-09;singles;1718
808884;2008-02-09;doubles;1584
808884;2008-02-21;singles;1728
808884;2008-02-23;singles;1715
808884;2008-02-23;doubles;1578
808884;2008-09-27;singles;1726
808884;2008-09-27;doubles;1591
808884;2008-09-28;singles;1739
808884;2008-09-28;doubles;1601
808884;2008-09-30;singles;1751
808884;2008-09-30;doubles;1615
808884;2008-10-08;singles;1762
808884;2008-10-08;doubles;1610
808884;2008-11-08;singles;1757
808884;2008-11-08;doubles;1603
808884;2008-11-09;singles;1762
808884;2008-11-09;doubles;1616
808884;2008-11-15;singles;1769
808884;2008-11-15;doubles;1624
808884;2008-12-06;singles;1779
808884;2008-12-06;doubles;1633
808884;2008-12-13;singles;1786
808884;2008-12-13;doubles;1641
808884;2009-01-18;singles;1781
808884;2009-01-18;doubles;1657
808884;2009-01-24;singles;1795
808884;2009-01-24;doubles;1652
808884;2009-02-14;singles;1799
808884;2009-02-14;doubles;1657
808884;2009-02-28;singles;1805
808884;2009-02-28;doubles;1667
808884;2009-09-19;singles;1789
808884;2009-09-19;doubles;1682
808884;2009-09-26;singles;1783
808884;2009-09-26;doubles;1696
808884;2009-10-03;singles;1774
808884;2009-10-03;doubles;1690
808884;2009-10-11;singles;1785
808884;2009-10-11;doubles;1710
808884;2009-11-07;singles;1797
808884;2009-11-07;doubles;1714
808884;2009-11-14;singles;1791
808884;2009-11-14;doubles;1723
808884;2009-11-21;singles;1783
808884;2009-11-21;doubles;1736
808884;2009-12-12;singles;1788
808884;2009-12-12;doubles;1743
808884;2010-01-09;singles;1795
808884;2010-01-09;doubles;1754
808884;2010-01-16;singles;1788
808884;2010-01-16;doubles;1766
808884;2010-01-23;singles;1784
808884;2010-01-23;doubles;1759
808884;2010-02-14;singles;1800
808884;2010-02-14;doubles;1751
808884;2010-02-20;singles;1789
808884;2010-02-20;doubles;1745
