athlete_id;created_at;discipline;skill_mean;skill_std
808884;2008-09-28;singles;31.1219;1.21463
808884;2008-09-28;doubles;29.8508;1.84625
808884;2008-09-30;singles;31.2523;1.20475
808884;2008-09-30;doubles;30.1679;1.82529
808884;2008-10-08;singles;31.5278;1.19214
808884;2008-10-08;doubles;30.0811;1.81681
808884;2008-11-08;singles;31.4103;1.18458
808884;2008-11-08;doubles;30.0543;1.81444
808884;2008-11-09;singles;31.5881;1.17366
808884;2008-11-09;doubles;30.5761;1.7903
808884;2008-11-15;singles;31.7142;1.16486
808884;2008-11-15;doubles;30.8398;1.77131
808884;2008-12-06;singles;31.8217;1.15715
808884;2008-12-06;doubles;31.0403;1.7557
808884;2008-12-13;singles;31.9171;1.15028
808884;2008-12-13;doubles;31.2323;1.74066
808884;2009-01-18;singles;31.7318;1.13988
808884;2009-01-18;doubles;31.5411;1.72191
808884;2009-01-24;singles;31.8983;1.13041
808884;2009-01-24;doubles;31.3633;1.7082
808884;2009-02-14;singles;32.0028;1.12353
808884;2009-02-14;doubles;31.5895;1.69241
808884;2009-02-28;singles;32.0807;1.11837
808884;2009-02-28;doubles;31.7408;1.68043
808884;2009-09-19;singles;31.9012;1.10896
808884;2009-09-19;doubles;32.0256;1.6636
808884;2009-09-26;singles;31.7625;1.1012
808884;2009-09-26;doubles;32.2826;1.64863
808884;2009-10-03;singles;31.7045;1.09925
808884;2009-10-03;doubles;32.0594;1.63743
808884;2009-10-11;singles;31.898;1.08994
808884;2009-10-11;doubles;32.369;1.62058
808884;2009-11-07;singles;32.0827;1.08171
808884;2009-11-07;doubles;32.5943;1.60655
808884;2009-11-14;singles;31.8906;1.07286
808884;2009-11-14;doubles;32.9359;1.5909
808884;2009-11-21;singles;31.7264;1.06504
808884;2009-11-21;doubles;32.9965;1.58724
808884;2009-12-12;singles;31.9089;1.057
808884;2009-12-12;doubles;33.1665;1.57609
808884;2010-01-09;singles;31.9949;1.05266
808884;2010-01-09;doubles;33.3004;1.5668
808884;2010-01-16;singles;31.9729;1.05284
808884;2010-01-16;doubles;33.5741;1.55256
808884;2010-01-23;singles;31.9232;1.0505
808884;2010-01-23;doubles;33.4458;1.54366
808884;2010-02-14;singles;32.0901;1.04352
808884;2010-02-14;doubles;33.1972;1.53045
808884;2010-02-20;singles;32.0256;1.04223
808884;2010-02-20;doubles;33.0901;1.52281
